Date,Truck_Number,Area,Location,Start Time,End Time,Number Of Refueling,Sales_Amount,Feul Fee,Profit,Fuel Price,Total Sales (L),utilization,capacity_used,profit_per_liter,Location_rank,Truck_Rank
10 Azar ,Fuel Truck1,1.0,Ajudanieh,8.0,11.0,1.0,2700.0,5000.0,81000000.0,35000.0,94500000.0,0.54,0.54,30000.0,508500000.0,508500000.0
10 Azar ,Fuel Truck2,1.0,Farmaniyeh,8.13,11.0,1.0,4000.0,5000.0,120000000.0,35000.0,140000000.0,0.8,0.8,30000.0,714000000.0,714000000.0
10 Azar ,Fuel Truck3,1.0,Andarzgoo 1,8.17,11.0,2.0,7500.0,5000.0,225000000.0,35000.0,262500000.0,1.5,1.5,30000.0,1386000000.0,1386000000.0
10 Azar ,Fuel Truck4,1.0,andarzgoo 2,8.31,11.0,2.0,7000.0,5000.0,210000000.0,35000.0,245000000.0,1.4,1.4,30000.0,1371000000.0,1371000000.0
10 Azar ,Fuel Truck5,1.0,Pasdaran,8.0,11.0,1.0,4350.0,5000.0,130500000.0,35000.0,152250000.0,0.87,0.87,30000.0,799500000.0,799500000.0
10 Azar ,Fuel Truck6,1.0,ekhtiariyeh,8.12,11.0,1.0,1740.0,5000.0,52200000.0,35000.0,60900000.0,0.348,0.348,30000.0,402600000.0,402600000.0
10 Azar ,Fuel Truck7,1.0,tajrish 1,8.24,11.0,3.0,13000.0,5000.0,390000000.0,35000.0,455000000.0,2.6,2.6,30000.0,2151000000.0,2151000000.0
10 Azar ,Fuel Truck8,1.0,tajrish 2 ,8.45,11.0,3.0,12500.0,5000.0,375000000.0,35000.0,437500000.0,2.5,2.5,30000.0,2322000000.0,2322000000.0
10 Azar ,Fuel Truck9,1.0,velenjak 1 ,8.51,11.0,1.0,3500.0,5000.0,105000000.0,35000.0,122500000.0,0.7,0.7,30000.0,678000000.0,678000000.0
10 Azar ,Fuel Truck10,1.0,velenjak 2,9.01,11.0,2.0,5900.0,5000.0,177000000.0,35000.0,206500000.0,1.18,1.18,30000.0,1058940000.0,1058940000.0
10 Azar ,Fuel Truck11,2.0,modiriat,7.45,11.0,2.0,8700.0,5000.0,261000000.0,35000.0,304500000.0,1.74,1.74,30000.0,1604700000.0,1604700000.0
10 Azar ,Fuel Truck12,2.0,dadman,8.23,11.0,2.0,5500.0,5000.0,165000000.0,35000.0,192500000.0,1.1,1.1,30000.0,879000000.0,879000000.0
10 Azar ,Fuel Truck13,2.0,sepehr,8.41,11.0,1.0,4567.0,5000.0,137010000.0,35000.0,159845000.0,0.9134,0.9134,30000.0,786510000.0,786510000.0
10 Azar ,Fuel Truck14,2.0,farahzad,8.55,11.0,1.0,2200.0,5000.0,66000000.0,35000.0,77000000.0,0.44,0.44,30000.0,365250000.0,365250000.0
10 Azar ,Fuel Truck15,2.0,Sanat Square,8.33,11.0,3.0,11000.0,5000.0,330000000.0,35000.0,385000000.0,2.2,2.2,30000.0,2103000000.0,2103000000.0
10 Azar ,Fuel Truck16,2.0,iran zamin 1,8.33,11.0,2.0,10000.0,5000.0,300000000.0,35000.0,350000000.0,2.0,2.0,30000.0,1821000000.0,1821000000.0
10 Azar ,Fuel Truck17,2.0,iran zamin 2,8.33,11.0,2.0,7000.0,5000.0,210000000.0,35000.0,245000000.0,1.4,1.4,30000.0,1537500000.0,1537500000.0
10 Azar ,Fuel Truck18,3.0,dolat,8.33,11.0,2.0,6570.0,5000.0,197100000.0,35000.0,229950000.0,1.314,1.314,30000.0,1193100000.0,1193100000.0
10 Azar ,Fuel Truck19,3.0,kaveh blv,8.33,11.0,2.0,8900.0,5000.0,267000000.0,35000.0,311500000.0,1.78,1.78,30000.0,1725000000.0,1725000000.0
10 Azar ,Fuel Truck20,3.0,nemati,8.33,11.0,1.0,1280.0,5000.0,38400000.0,35000.0,44800000.0,0.256,0.256,30000.0,203400000.0,203400000.0
10 Azar ,Fuel Truck21,3.0,shariati ,8.33,11.0,4.0,18000.0,5000.0,540000000.0,35000.0,630000000.0,3.6,3.6,30000.0,2967000000.0,2967000000.0
10 Azar ,Fuel Truck22,3.0,daroos,8.33,11.0,2.0,5780.0,5000.0,173400000.0,35000.0,202300000.0,1.156,1.156,30000.0,1229400000.0,1229400000.0
10 Azar ,Fuel Truck23,3.0,shahrzad,8.33,11.0,1.0,1330.0,5000.0,39900000.0,35000.0,46550000.0,0.266,0.266,30000.0,243900000.0,243900000.0
10 Azar ,Fuel Truck24,3.0,daroos 2 ,8.33,11.0,1.0,3700.0,5000.0,111000000.0,35000.0,129500000.0,0.74,0.74,30000.0,897000000.0,897000000.0
10 Azar ,Fuel Truck25,4.0,heravi square,8.33,11.0,2.0,9600.0,5000.0,288000000.0,35000.0,336000000.0,1.92,1.92,30000.0,2292000000.0,2292000000.0
10 Azar ,Fuel Truck26,4.0,hussein abad,8.33,11.0,1.0,760.0,5000.0,22800000.0,35000.0,26600000.0,0.152,0.152,30000.0,172500000.0,172500000.0
10 Azar ,Fuel Truck27,4.0,lavizan,8.33,11.0,1.0,2200.0,5000.0,66000000.0,35000.0,77000000.0,0.44,0.44,30000.0,425100000.0,425100000.0
10 Azar ,Fuel Truck28,4.0,lavizan 2 ,8.33,11.0,1.0,4678.0,5000.0,140340000.0,35000.0,163730000.0,0.9356,0.9356,30000.0,868020000.0,868020000.0
10 Azar ,Fuel Truck29,4.0,majidiyeh north,8.33,11.0,1.0,4800.0,5000.0,144000000.0,35000.0,168000000.0,0.96,0.96,30000.0,960000000.0,960000000.0
10 Azar ,Fuel Truck30,4.0,majidiyeh south,8.33,11.0,1.0,1150.0,5000.0,34500000.0,35000.0,40250000.0,0.23,0.23,30000.0,229800000.0,229800000.0
10 Azar ,Fuel Truck31,5.0,poonak,8.33,11.0,2.0,9000.0,5000.0,270000000.0,35000.0,315000000.0,1.8,1.8,30000.0,1716000000.0,1716000000.0
10 Azar ,Fuel Truck32,5.0,shahran,8.33,11.0,1.0,1780.0,5000.0,53400000.0,35000.0,62300000.0,0.356,0.356,30000.0,376200000.0,376200000.0
10 Azar ,Fuel Truck33,5.0,janab abad ,8.33,11.0,1.0,2600.0,5000.0,78000000.0,35000.0,91000000.0,0.52,0.52,30000.0,481800000.0,481800000.0
10 Azar ,Fuel Truck34,5.0,shahre ziba,8.33,11.0,2.0,5690.0,5000.0,170700000.0,35000.0,199150000.0,1.138,1.138,30000.0,1397700000.0,1397700000.0
10 Azar ,Fuel Truck35,5.0,ekbatan complex,8.33,11.0,2.0,6700.0,5000.0,201000000.0,35000.0,234500000.0,1.34,1.34,30000.0,1413000000.0,1413000000.0
10 Azar ,Fuel Truck36,5.0,ferdos blv,8.33,11.0,1.0,4700.0,5000.0,141000000.0,35000.0,164500000.0,0.94,0.94,30000.0,993000000.0,993000000.0
10 Azar ,Fuel Truck37,5.0,iran shahr,8.33,11.0,1.0,4000.0,5000.0,120000000.0,35000.0,140000000.0,0.8,0.8,30000.0,801000000.0,801000000.0
10 Azar ,Fuel Truck38,6.0,amir abad,8.33,11.0,1.0,350.0,5000.0,10500000.0,35000.0,12250000.0,0.07,0.07,30000.0,135600000.0,135600000.0
10 Azar ,Fuel Truck39,6.0,yusef abad,8.33,11.0,2.0,7800.0,5000.0,234000000.0,35000.0,273000000.0,1.56,1.56,30000.0,1653000000.0,1653000000.0
10 Azar ,Fuel Truck40,6.0,keshavarz,8.33,11.0,4.0,17000.0,5000.0,510000000.0,35000.0,595000000.0,3.4,3.4,30000.0,3063000000.0,3063000000.0
10 Azar ,Fuel Truck41,6.0,vali asr,8.33,11.0,5.0,23000.0,5000.0,690000000.0,35000.0,805000000.0,4.6,4.6,30000.0,4209000000.0,4209000000.0
10 Azar ,Fuel Truck42,6.0,university of tehran,8.33,11.0,2.0,9560.0,5000.0,286800000.0,35000.0,334600000.0,1.912,1.912,30000.0,1784400000.0,1784400000.0
,,,,,,,,,,,,,,,,
11 Azar,Fuel Truck1,1.0,Ajudanieh,8.0,11.0,1.0,2550.0,5000.0,76500000.0,35000.0,89250000.0,0.51,0.51,30000.0,508500000.0,508500000.0
11 Azar,Fuel Truck2,1.0,Farmaniyeh,8.13,11.0,1.0,3600.0,5000.0,108000000.0,35000.0,126000000.0,0.72,0.72,30000.0,714000000.0,714000000.0
11 Azar,Fuel Truck3,1.0,Andarzgoo 1,8.17,11.0,2.0,6600.0,5000.0,198000000.0,35000.0,231000000.0,1.32,1.32,30000.0,1386000000.0,1386000000.0
11 Azar,Fuel Truck4,1.0,andarzgoo 2,8.31,11.0,2.0,7000.0,5000.0,210000000.0,35000.0,245000000.0,1.4,1.4,30000.0,1371000000.0,1371000000.0
11 Azar,Fuel Truck5,1.0,Pasdaran,8.0,11.0,1.0,3500.0,5000.0,105000000.0,35000.0,122500000.0,0.7,0.7,30000.0,799500000.0,799500000.0
11 Azar,Fuel Truck6,1.0,ekhtiariyeh,8.12,11.0,1.0,1400.0,5000.0,42000000.0,35000.0,49000000.0,0.28,0.28,30000.0,402600000.0,402600000.0
11 Azar,Fuel Truck7,1.0,tajrish 1,8.24,11.0,2.0,9000.0,5000.0,270000000.0,35000.0,315000000.0,1.8,1.8,30000.0,2151000000.0,2151000000.0
11 Azar,Fuel Truck8,1.0,tajrish 2 ,8.45,11.0,3.0,10500.0,5000.0,315000000.0,35000.0,367500000.0,2.1,2.1,30000.0,2322000000.0,2322000000.0
11 Azar,Fuel Truck9,1.0,velenjak 1 ,8.51,11.0,1.0,2000.0,5000.0,60000000.0,35000.0,70000000.0,0.4,0.4,30000.0,678000000.0,678000000.0
11 Azar,Fuel Truck10,1.0,velenjak 2,9.01,11.0,1.0,4300.0,5000.0,129000000.0,35000.0,150500000.0,0.86,0.86,30000.0,1058940000.0,1058940000.0
11 Azar,Fuel Truck11,2.0,modiriat,7.45,11.0,2.0,7000.0,5000.0,210000000.0,35000.0,245000000.0,1.4,1.4,30000.0,1604700000.0,1604700000.0
11 Azar,Fuel Truck12,2.0,dadman,8.23,11.0,1.0,4400.0,5000.0,132000000.0,35000.0,154000000.0,0.88,0.88,30000.0,879000000.0,879000000.0
11 Azar,Fuel Truck13,2.0,sepehr,8.41,11.0,1.0,3850.0,5000.0,115500000.0,35000.0,134750000.0,0.77,0.77,30000.0,786510000.0,786510000.0
11 Azar,Fuel Truck14,2.0,farahzad,8.55,11.0,1.0,1600.0,5000.0,48000000.0,35000.0,56000000.0,0.32,0.32,30000.0,365250000.0,365250000.0
11 Azar,Fuel Truck15,2.0,Sanat Square,8.33,11.0,2.0,9900.0,5000.0,297000000.0,35000.0,346500000.0,1.98,1.98,30000.0,2103000000.0,2103000000.0
11 Azar,Fuel Truck16,2.0,iran zamin 1,8.33,11.0,2.0,9600.0,5000.0,288000000.0,35000.0,336000000.0,1.92,1.92,30000.0,1821000000.0,1821000000.0
11 Azar,Fuel Truck17,2.0,iran zamin 2,8.33,11.0,2.0,6750.0,5000.0,202500000.0,35000.0,236250000.0,1.35,1.35,30000.0,1537500000.0,1537500000.0
11 Azar,Fuel Truck18,3.0,dolat,8.33,11.0,2.0,5600.0,5000.0,168000000.0,35000.0,196000000.0,1.12,1.12,30000.0,1193100000.0,1193100000.0
11 Azar,Fuel Truck19,3.0,kaveh blv,8.33,11.0,2.0,8000.0,5000.0,240000000.0,35000.0,280000000.0,1.6,1.6,30000.0,1725000000.0,1725000000.0
11 Azar,Fuel Truck20,3.0,nemati,8.33,11.0,1.0,870.0,5000.0,26100000.0,35000.0,30450000.0,0.174,0.174,30000.0,203400000.0,203400000.0
11 Azar,Fuel Truck21,3.0,shariati ,8.33,11.0,4.0,15700.0,5000.0,471000000.0,35000.0,549500000.0,3.14,3.14,30000.0,2967000000.0,2967000000.0
11 Azar,Fuel Truck22,3.0,daroos,8.33,11.0,2.0,6000.0,5000.0,180000000.0,35000.0,210000000.0,1.2,1.2,30000.0,1229400000.0,1229400000.0
11 Azar,Fuel Truck23,3.0,shahrzad,8.33,11.0,1.0,670.0,5000.0,20100000.0,35000.0,23450000.0,0.134,0.134,30000.0,243900000.0,243900000.0
11 Azar,Fuel Truck24,3.0,daroos 2 ,8.33,11.0,1.0,3900.0,5000.0,117000000.0,35000.0,136500000.0,0.78,0.78,30000.0,897000000.0,897000000.0
11 Azar,Fuel Truck25,4.0,heravi square,8.33,11.0,3.0,10200.0,5000.0,306000000.0,35000.0,357000000.0,2.04,2.04,30000.0,2292000000.0,2292000000.0
11 Azar,Fuel Truck26,4.0,hussein abad,8.33,11.0,1.0,960.0,5000.0,28800000.0,35000.0,33600000.0,0.192,0.192,30000.0,172500000.0,172500000.0
11 Azar,Fuel Truck27,4.0,lavizan,8.33,11.0,1.0,1690.0,5000.0,50700000.0,35000.0,59150000.0,0.338,0.338,30000.0,425100000.0,425100000.0
11 Azar,Fuel Truck28,4.0,lavizan 2 ,8.33,11.0,1.0,4000.0,5000.0,120000000.0,35000.0,140000000.0,0.8,0.8,30000.0,868020000.0,868020000.0
11 Azar,Fuel Truck29,4.0,majidiyeh north,8.33,11.0,1.0,4500.0,5000.0,135000000.0,35000.0,157500000.0,0.9,0.9,30000.0,960000000.0,960000000.0
11 Azar,Fuel Truck30,4.0,majidiyeh south,8.33,11.0,1.0,900.0,5000.0,27000000.0,35000.0,31500000.0,0.18,0.18,30000.0,229800000.0,229800000.0
11 Azar,Fuel Truck31,5.0,poonak,8.33,11.0,2.0,8800.0,5000.0,264000000.0,35000.0,308000000.0,1.76,1.76,30000.0,1716000000.0,1716000000.0
11 Azar,Fuel Truck32,5.0,shahran,8.33,11.0,1.0,1800.0,5000.0,54000000.0,35000.0,63000000.0,0.36,0.36,30000.0,376200000.0,376200000.0
11 Azar,Fuel Truck33,5.0,janab abad ,8.33,11.0,1.0,2000.0,5000.0,60000000.0,35000.0,70000000.0,0.4,0.4,30000.0,481800000.0,481800000.0
11 Azar,Fuel Truck34,5.0,shahre ziba,8.33,11.0,2.0,6000.0,5000.0,180000000.0,35000.0,210000000.0,1.2,1.2,30000.0,1397700000.0,1397700000.0
11 Azar,Fuel Truck35,5.0,ekbatan complex,8.33,11.0,2.0,7000.0,5000.0,210000000.0,35000.0,245000000.0,1.4,1.4,30000.0,1413000000.0,1413000000.0
11 Azar,Fuel Truck36,5.0,ferdos blv,8.33,11.0,1.0,4500.0,5000.0,135000000.0,35000.0,157500000.0,0.9,0.9,30000.0,993000000.0,993000000.0
11 Azar,Fuel Truck37,5.0,iran shahr,8.33,11.0,1.0,3300.0,5000.0,99000000.0,35000.0,115500000.0,0.66,0.66,30000.0,801000000.0,801000000.0
11 Azar,Fuel Truck38,6.0,amir abad,8.33,11.0,1.0,460.0,5000.0,13800000.0,35000.0,16100000.0,0.092,0.092,30000.0,135600000.0,135600000.0
11 Azar,Fuel Truck39,6.0,yusef abad,8.33,11.0,2.0,7000.0,5000.0,210000000.0,35000.0,245000000.0,1.4,1.4,30000.0,1653000000.0,1653000000.0
11 Azar,Fuel Truck40,6.0,keshavarz,8.33,11.0,3.0,14400.0,5000.0,432000000.0,35000.0,504000000.0,2.88,2.88,30000.0,3063000000.0,3063000000.0
11 Azar,Fuel Truck41,6.0,vali asr,8.33,11.0,5.0,21500.0,5000.0,645000000.0,35000.0,752500000.0,4.3,4.3,30000.0,4209000000.0,4209000000.0
11 Azar,Fuel Truck42,6.0,university of tehran,8.33,11.0,2.0,8700.0,5000.0,261000000.0,35000.0,304500000.0,1.74,1.74,30000.0,1784400000.0,1784400000.0
,,,,,,,,,,,,,,,,
12 azar,Fuel Truck1,1.0,Ajudanieh,8.0,11.0,1.0,2000.0,5000.0,60000000.0,35000.0,70000000.0,0.4,0.4,30000.0,508500000.0,508500000.0
12 azar,Fuel Truck2,1.0,Farmaniyeh,8.13,11.0,1.0,3000.0,5000.0,90000000.0,35000.0,105000000.0,0.6,0.6,30000.0,714000000.0,714000000.0
12 azar,Fuel Truck3,1.0,Andarzgoo 1,8.17,11.0,2.0,5900.0,5000.0,177000000.0,35000.0,206500000.0,1.18,1.18,30000.0,1386000000.0,1386000000.0
12 azar,Fuel Truck4,1.0,andarzgoo 2,8.31,11.0,2.0,6900.0,5000.0,207000000.0,35000.0,241500000.0,1.38,1.38,30000.0,1371000000.0,1371000000.0
12 azar,Fuel Truck5,1.0,Pasdaran,8.0,11.0,1.0,3300.0,5000.0,99000000.0,35000.0,115500000.0,0.66,0.66,30000.0,799500000.0,799500000.0
12 azar,Fuel Truck6,1.0,ekhtiariyeh,8.12,11.0,1.0,1800.0,5000.0,54000000.0,35000.0,63000000.0,0.36,0.36,30000.0,402600000.0,402600000.0
12 azar,Fuel Truck7,1.0,tajrish 1,8.24,11.0,2.0,7600.0,5000.0,228000000.0,35000.0,266000000.0,1.52,1.52,30000.0,2151000000.0,2151000000.0
12 azar,Fuel Truck8,1.0,tajrish 2 ,8.45,11.0,2.0,9800.0,5000.0,294000000.0,35000.0,343000000.0,1.96,1.96,30000.0,2322000000.0,2322000000.0
12 azar,Fuel Truck9,1.0,velenjak 1 ,8.51,11.0,1.0,2400.0,5000.0,72000000.0,35000.0,84000000.0,0.48,0.48,30000.0,678000000.0,678000000.0
12 azar,Fuel Truck10,1.0,velenjak 2,9.01,11.0,1.0,4400.0,5000.0,132000000.0,35000.0,154000000.0,0.88,0.88,30000.0,1058940000.0,1058940000.0
12 azar,Fuel Truck11,2.0,modiriat,7.45,11.0,2.0,7800.0,5000.0,234000000.0,35000.0,273000000.0,1.56,1.56,30000.0,1604700000.0,1604700000.0
12 azar,Fuel Truck12,2.0,dadman,8.23,11.0,1.0,3500.0,5000.0,105000000.0,35000.0,122500000.0,0.7,0.7,30000.0,879000000.0,879000000.0
12 azar,Fuel Truck13,2.0,sepehr,8.41,11.0,1.0,3200.0,5000.0,96000000.0,35000.0,112000000.0,0.64,0.64,30000.0,786510000.0,786510000.0
